id,municipio
1405,Chajul
1406,Chichicastenango
1407,Patzite
1408,San Antonio Ilotenango
1409,San Pedro Jocopilas
1410,Cunen
1411,San Juan Cotzal
1412,Joyabaj
1413,Nebaj
1414,San Andres Sajcabaja
1415,Uspantan
1416,Sacapulas
1417,San Bartolome Jocotenango
1418,Canilla
1419,Chicaman
1420,Ixcan
1421,Pachalum
1501,Salama
1502,San Miguel Chicaj
1503,Rabinal
1504,Cubulco
1505,Granados
1506,El Chol
1507,San Jeronimo
1508,Purulha
1601,Coban
1602,Santa Cruz Verapaz
1603,San Cristobal Verapaz
1604,Tactic
1605,Tamahu
1606,Tucuru
1607,Panzos
1608,Senahu
1609,San Pedro Carcha
1610,San Juan Chamelco
1611,Lanquin
1612,Cahabon
1613,Chisec
1614,Chahal
1615,Fray Bartolome De Las Casas
1616,Santa Catalina La Tinta
1617,Raxruha
1701,Flores
1702,San Jose
1703,San Benito
1704,San Andres
1705,La Libertad
1706,San Francisco
1707,Santa Ana
1708,Dolores
1709,San Luis
1710,Sayaxche
1711,Melchor De Mencos
1712,Poptun
1713,Las Cruces
1714,El Chal
1801,Puerto Barrios
1802,Livingston
1803,El Estor
1804,Morales
1805,Los Amates
1901,Zacapa
1902,Estanzuela
1903,Rio Hondo
1904,Gualan
1905,Teculutan
1906,Usumatlan
1907,Cabanas
1908,San Diego
1909,La Union
1910,Huite
1911,San Jorge
2001,Chiquimula
2002,San Jose La Arada
2003,San Juan Ermita
2004,Jocotan
2005,Camotan
2006,Olopa
2007,Esquipulas
2008,Concepcion Las Minas
2009,Quezaltepeque
2010,San Jacinto
2011,Ipala
2101,Jalapa
2102,San Pedro Pinula
2103,San Luis Jilotepeque
2104,San Manuel Chaparron
2105,San Carlos Alzatate
2106,Monjas
2107,Mataquescuintla
2201,Jutiapa
2202,El Progreso
2203,Santa Catarina Mita
2204,Agua Blanca
2205,Asuncion Mita
2206,Yupiltepeque
2207,Atescatempa (Pedro De Alvarado)
2208,Jerez
2209,El Adelanto
2210,Zapotitlan
2211,Comapa
2212,Jalpatagua
2213,Conguaco
2214,Moyuta
2215,Pasaco
2216,San Jose Acatempa
2217,Quesada
